nom,nom,nom,nom,num,num,
A,S,J,O,CC,APL,R
0,1,0,0,0.677546119,2.82765104,0
0,1,0,0,0.683413627,2.808134504,0
1,0,0,0,0.683413627,2.807911001,0
0,1,0,0,0.685179596,2.818135765,0
0,0,1,0,0.686879714,2.815622275,0
0,0,1,0,0.684966802,2.810587055,0
1,1,0,1,0.684353331,2.808084672,1
0,1,0,0,0.683039669,2.809252845,0
1,1,1,1,0.684353331,2.808084672,1
0,0,1,0,0.6842366,2.813776781,0
1,1,0,0,0.687189178,2.805761731,1
0,0,1,0,0.684184579,2.807481297,0
0,0,1,0,0.685383244,2.81242952,0
0,0,1,0,0.683660389,2.809895833,0
0,0,1,0,0.689734833,2.486316091,0
0,0,1,0,0.694749695,2.831637254,0
0,1,0,0,0.676510487,2.829311434,0
1,1,0,1,0.698338736,2.698866146,1
1,1,0,1,0.685994648,2.805709256,1
0,0,1,0,0.68332022,2.808581674,0
1,1,1,1,0.685994648,2.805709256,1
0,1,0,0,0.672629092,2.839064475,0
0,0,1,0,0.684740741,2.473548562,0
0,1,1,0,0.703212435,2.707690024,1
0,1,0,0,0.683039669,2.809252845,0
0,0,1,0,0.684034276,2.809854785,0
0,1,0,1,0.698338736,2.698866146,1
0,0,1,0,0.684428656,2.809500062,0
0,0,1,0,0.683664394,2.603172539,0
0,0,1,0,0.683039669,2.809252845,0
1,1,1,1,0.682477073,2.810148515,1
0,1,0,0,0.687744593,2.831260418,0
0,1,0,0,0.683039669,2.809252845,0
1,0,0,0,0.684184579,2.807255953,1
0,1,0,0,0.683454653,2.809005443,1
0,0,1,0,0.68359298,2.712624795,0
0,0,1,0,0.689873418,2.486594982,0
1,1,0,0,0.698268004,2.698263173,1
0,1,1,1,0.694953424,2.744032922,1
0,0,1,0,0.691956124,2.384955101,0
0,1,0,0,0.683993979,2.815470992,0
0,0,1,0,0.683413627,2.808134504,0
0,0,1,0,0.691441898,2.398511601,0
1,1,0,1,0.68592666,2.80538094,1
1,1,0,1,0.683413627,2.808134504,1
1,0,0,0,0.682477073,2.810148515,0
0,1,0,0,0.687461586,2.827815416,0
0,0,1,0,0.683480826,2.808458019,0
1,1,1,1,0.690604428,2.680778032,1
0,0,1,0,0.68359298,2.712624795,0
1,0,0,0,0.671796963,2.818023617,0
0,1,0,1,0.698338736,2.698866146,1
0,0,1,0,0.683660389,2.809895833,0
0,0,1,0,0.686468647,2.807227366,0
0,0,1,0,0.684850903,2.816408204,0
1,0,1,0,0.684178925,2.818694399,0
0,0,1,0,0.685113939,2.806584877,0
0,0,1,0,0.683413627,2.807911001,0
0,0,1,0,0.683115339,2.719615385,0
0,0,1,0,0.684577809,2.739315688,0
0,0,1,0,0.68332022,2.808581674,0
1,1,1,1,0.685492692,2.807256236,1
0,0,1,0,0.686879714,2.815622275,0
1,0,0,0,0.682477073,2.810148515,0
0,1,0,0,0.672188025,2.835433468,0
0,0,1,0,0.688342823,2.482321072,0
0,0,1,0,0.684869394,2.805753596,0
0,0,1,0,0.691441898,2.398511601,0
0,0,1,0,0.683480826,2.808458019,0
0,0,1,0,0.68332022,2.808581674,0
0,0,1,0,0.683039669,2.809252845,0
0,0,1,0,0.685944655,2.814511041,0
0,0,1,0,0.686311598,2.690363349,0
1,1,1,1,0.686438152,2.723920622,1
1,1,1,1,0.683413627,2.808134504,1
0,0,1,0,0.683039669,2.809252845,0
0,0,1,0,0.682477073,2.810148515,0
0,0,1,0,0.684303872,2.790424457,0
0,0,1,0,0.683361212,2.809129144,0
0,0,1,0,0.682477073,2.810148515,0
1,1,0,1,0.683133305,2.829076621,1
1,0,1,0,0.685663047,2.804071247,1
1,0,0,0,0.683039669,2.809252845,0
1,1,0,1,0.696330275,2.816611734,1
